year,state,commodity,production_tonnes
1941,Australia,iron_ore,2486850.0
1942,Australia,iron_ore,2543764.0
1943,Australia,iron_ore,2688200.0
1944,Australia,iron_ore,2369250.0
1945,Australia,iron_ore,1641405.0
1946,Australia,iron_ore,1862127.0
1947,Australia,iron_ore,2191006.0
1948,Australia,iron_ore,2086216.0
1949,Australia,iron_ore,1497121.0
1950,Australia,iron_ore,2418017.0
1951,Australia,iron_ore,2492015.0
1952,Australia,iron_ore,2972813.0
1953,Australia,iron_ore,3363130.0
1954,Australia,iron_ore,3587056.0
1955,Australia,iron_ore,3642890.0
1956,Australia,iron_ore,4002623.0
1957,Australia,iron_ore,3881703.0
1958,Australia,iron_ore,3997433.0
1959,Australia,iron_ore,4230790.0
1960,Australia,iron_ore,4454343.0
1961,Australia,iron_ore,5461389.0
1962,Australia,iron_ore,5046498.0
1963,Australia,iron_ore,5687254.0
1964,Australia,iron_ore,5843846.0
1965,Australia,iron_ore,6846086.0
1966,Australia,iron_ore,11113877.0
1967,Australia,iron_ore,17355153.0
1968,Australia,iron_ore,25570153.0
1969,Australia,iron_ore,38593697.0
1970,Australia,iron_ore,51244015.0
1971,Australia,iron_ore,62115814.0
1972,Australia,iron_ore,64472589.0
1973,Australia,iron_ore,84891879.0
1974,Australia,iron_ore,97007811.0
1975,Australia,iron_ore,97710518.0
1976,Australia,iron_ore,93305954.0
1977,Australia,iron_ore,95964041.0
1978,Australia,iron_ore,83181971.0
1979,Australia,iron_ore,91760268.0
1980,Australia,iron_ore,97874252.0
1981,Australia,iron_ore,80044885.0
1982,Australia,iron_ore,82054297.0
1983,Australia,iron_ore,78772859.0
1984,Australia,iron_ore,94456564.0
1985,Australia,iron_ore,92919399.0
1986,Australia,iron_ore,85497663.0
1987,Australia,iron_ore,88018498.0
1988,Australia,iron_ore,102952365.0
1989,Australia,iron_ore,111523918.0
1990,Australia,iron_ore,110507478.0
1991,Australia,iron_ore,117712650.0
1992,Australia,iron_ore,112162442.0
1993,Australia,iron_ore,120712998.0
1994,Australia,iron_ore,128803306.0
1995,Australia,iron_ore,142988309.0
1996,Australia,iron_ore,152166262.0
1997,Australia,iron_ore,156325418.0
1998,Australia,iron_ore,160765619.0
1999,Australia,iron_ore,151593353.0
2000,Australia,iron_ore,169817989.0
2001,Australia,iron_ore,180643037.0
2002,Australia,iron_ore,186592523.0
2003,Australia,iron_ore,212286419.0
2004,Australia,iron_ore,233200805.0
2005,Australia,iron_ore,261097167.0
2006,Australia,iron_ore,274168331.0
2007,Australia,iron_ore,298374490.0
2008,Australia,iron_ore,340404899.0
2009,Australia,iron_ore,390499821.0
2010,Australia,iron_ore,432675180.0
2011,Australia,iron_ore,477177019.0
2012,Australia,iron_ore,519356328.0
2013,Australia,iron_ore,609729698.0
2014,Australia,iron_ore,739682244.0
2015,Australia,iron_ore,809881763.0
2016,Australia,iron_ore,858025634.0
2017,Australia,iron_ore,884867455.0
2018,Australia,iron_ore,903850494.0
2019,Australia,iron_ore,917045579.0
2020,Australia,iron_ore,918063223.0
2021,Australia,iron_ore,922159323.0
1885,NSW,iron_ore,457.0
1889,NSW,iron_ore,497.0
1890,NSW,iron_ore,463.0
1891,NSW,iron_ore,232.0
1892,NSW,iron_ore,460.0
1893,NSW,iron_ore,1280.0
1894,NSW,iron_ore,440.0
1895,NSW,iron_ore,155.0
1896,NSW,iron_ore,381.0
1897,NSW,iron_ore,234.0
1898,NSW,iron_ore,398.0
1899,NSW,iron_ore,11092.0
1900,NSW,iron_ore,13675.0
1901,NSW,iron_ore,4333.0
1902,NSW,iron_ore,13963.0
1903,NSW,iron_ore,23687.0
1904,NSW,iron_ore,9221.0
1905,NSW,iron_ore,7460.0
1906,NSW,iron_ore,1543.0
1907,NSW,iron_ore,47502.0
1908,NSW,iron_ore,62098.0
1909,NSW,iron_ore,56875.0
1910,NSW,iron_ore,77037.0
1911,NSW,iron_ore,61984.0
1912,NSW,iron_ore,60980.0
1913,NSW,iron_ore,75977.0
1914,NSW,iron_ore,140675.0
1915,NSW,iron_ore,139170.0
1916,NSW,iron_ore,95621.0
1917,NSW,iron_ore,99405.0
1918,NSW,iron_ore,120542.0
1919,NSW,iron_ore,149127.0
1920,NSW,iron_ore,133067.0
1921,NSW,iron_ore,181830.0
1922,NSW,iron_ore,115146.0
1923,NSW,iron_ore,181300.0
1924,NSW,iron_ore,147785.0
1925,NSW,iron_ore,162173.0
1926,NSW,iron_ore,163075.0
1927,NSW,iron_ore,188081.0
1928,NSW,iron_ore,90286.0
1929,NSW,iron_ore,11409.0
1930,NSW,iron_ore,3861.0
1931,NSW,iron_ore,3724.0
1932,NSW,iron_ore,3114.0
1933,NSW,iron_ore,5454.0
1934,NSW,iron_ore,4280.0
1935,NSW,iron_ore,12262.0
1936,NSW,iron_ore,3495.0
1937,NSW,iron_ore,678.0
1938,NSW,iron_ore,110.0
1939,NSW,iron_ore,59.9
1940,NSW,iron_ore,221.0
1941,NSW,iron_ore,206048.0
1942,NSW,iron_ore,383770.0
1943,NSW,iron_ore,467263.0
1944,NSW,iron_ore,305167.0
1945,NSW,iron_ore,95755.0
1946,NSW,iron_ore,12888.0
1947,NSW,iron_ore,9386.0
1948,NSW,iron_ore,9580.0
1949,NSW,iron_ore,10478.0
1950,NSW,iron_ore,11927.0
1951,NSW,iron_ore,11891.0
1952,NSW,iron_ore,12512.0
1953,NSW,iron_ore,5665.0
1954,NSW,iron_ore,5305.0
1955,NSW,iron_ore,3462.0
1956,NSW,iron_ore,3583.0
1957,NSW,iron_ore,2797.0
1958,NSW,iron_ore,2984.0
1959,NSW,iron_ore,5328.0
1960,NSW,iron_ore,12927.0
1961,NSW,iron_ore,20063.0
1962,NSW,iron_ore,19821.0
1963,NSW,iron_ore,15057.0
1964,NSW,iron_ore,16910.0
1965,NSW,iron_ore,25346.0
1966,NSW,iron_ore,32151.0
1967,NSW,iron_ore,24170.0
1968,NSW,iron_ore,17423.0
1969,NSW,iron_ore,5628.0
1970,NSW,iron_ore,32982.0
1971,NSW,iron_ore,26817.0
1972,NSW,iron_ore,28154.0
1973,NSW,iron_ore,35691.0
1974,NSW,iron_ore,30993.0
1975,NSW,iron_ore,25328.0
1976,NSW,iron_ore,18405.0
1977,NSW,iron_ore,11659.0
1978,NSW,iron_ore,6319.0
1979,NSW,iron_ore,2738.0
1980,NSW,iron_ore,4397.0
1981,NSW,iron_ore,7378.0
1982,NSW,iron_ore,12523.0
1983,NSW,iron_ore,22422.0
1984,NSW,iron_ore,14384.0
1985,NSW,iron_ore,6863.0
1986,NSW,iron_ore,7279.0
1987,NSW,iron_ore,9996.0
1988,NSW,iron_ore,3901.0
1989,NSW,iron_ore,8487.0
1991,NSW,iron_ore,11676.0
1992,NSW,iron_ore,12694.0
1997,NSW,iron_ore,14053.0
1998,NSW,iron_ore,11791.0
1999,NSW,iron_ore,14073.0
2000,NSW,iron_ore,5470.0
2001,NSW,iron_ore,9329.0
2002,NSW,iron_ore,3934.0
1967,NT,iron_ore,318859.0
1968,NT,iron_ore,840416.0
1969,NT,iron_ore,922146.0
1970,NT,iron_ore,1208000.0
1971,NT,iron_ore,1106000.0
1972,NT,iron_ore,940000.0
1973,NT,iron_ore,839000.0
1974,NT,iron_ore,710000.0
2007,NT,iron_ore,338500.0
2008,NT,iron_ore,1148390.0
2009,NT,iron_ore,2751577.0
2010,NT,iron_ore,2158767.0
2011,NT,iron_ore,2037691.0
2012,NT,iron_ore,1950000.0
2013,NT,iron_ore,2950000.0
2014,NT,iron_ore,1500000.0
2021,NT,iron_ore,2500300.0
1901,QLD,iron_ore,437.0
1903,QLD,iron_ore,9965.0
1904,QLD,iron_ore,4502.0
1905,QLD,iron_ore,4411.0
1906,QLD,iron_ore,31903.0
1907,QLD,iron_ore,36430.0
1908,QLD,iron_ore,52420.0
1909,QLD,iron_ore,49414.0
1910,QLD,iron_ore,37732.0
1911,QLD,iron_ore,20969.0
1912,QLD,iron_ore,15774.0
1913,QLD,iron_ore,41491.0
1914,QLD,iron_ore,48859.0
1915,QLD,iron_ore,46417.0
1916,QLD,iron_ore,44868.0
1917,QLD,iron_ore,25466.0
1918,QLD,iron_ore,43467.0
1919,QLD,iron_ore,25071.0
1920,QLD,iron_ore,20024.0
1921,QLD,iron_ore,4126.0
1923,QLD,iron_ore,203.0
1925,QLD,iron_ore,351.0
1926,QLD,iron_ore,4482.592
1927,QLD,iron_ore,514.0
1929,QLD,iron_ore,1256.0
1930,QLD,iron_ore,2456.0
1931,QLD,iron_ore,4629.0
1932,QLD,iron_ore,8364.0
1933,QLD,iron_ore,8690.0
1934,QLD,iron_ore,3282.0
1935,QLD,iron_ore,1137.0
1936,QLD,iron_ore,2338.0
1937,QLD,iron_ore,4551.0
1938,QLD,iron_ore,5207.0
1939,QLD,iron_ore,4003.0
1940,QLD,iron_ore,2886.0
1941,QLD,iron_ore,2349.0
1942,QLD,iron_ore,3815.0
1943,QLD,iron_ore,3095.0
1944,QLD,iron_ore,2374.0
1945,QLD,iron_ore,1742.0
1946,QLD,iron_ore,1680.0
1947,QLD,iron_ore,1363.0
1948,QLD,iron_ore,1592.0
1949,QLD,iron_ore,1493.0
1950,QLD,iron_ore,1990.0
1951,QLD,iron_ore,1629.0
1952,QLD,iron_ore,1273.0
1953,QLD,iron_ore,1063.0
1954,QLD,iron_ore,165.0
1955,QLD,iron_ore,939.0
1956,QLD,iron_ore,4158.0
1957,QLD,iron_ore,4341.0
1958,QLD,iron_ore,1012.0
1959,QLD,iron_ore,1344.0
1960,QLD,iron_ore,1787.0
1961,QLD,iron_ore,1774.0
1962,QLD,iron_ore,2374.0
1963,QLD,iron_ore,3118.0
1964,QLD,iron_ore,3518.0
1965,QLD,iron_ore,7475.0
1966,QLD,iron_ore,1987.0
1967,QLD,iron_ore,11263.0
1968,QLD,iron_ore,17554.0
1969,QLD,iron_ore,12786.0
1970,QLD,iron_ore,22627.0
1971,QLD,iron_ore,26314.0
1972,QLD,iron_ore,42595.0
1973,QLD,iron_ore,28127.0
1974,QLD,iron_ore,27148.0
1975,QLD,iron_ore,29117.0
1976,QLD,iron_ore,28666.0
1977,QLD,iron_ore,28237.0
1978,QLD,iron_ore,32700.0
1979,QLD,iron_ore,33663.0
1980,QLD,iron_ore,26755.0
1981,QLD,iron_ore,41160.0
1983,QLD,iron_ore,30861.0
1984,QLD,iron_ore,36095.0
1985,QLD,iron_ore,31503.0
1986,QLD,iron_ore,32495.0
1987,QLD,iron_ore,29716.0
1988,QLD,iron_ore,32246.0
1989,QLD,iron_ore,29387.0
1991,QLD,iron_ore,29143.0
1992,QLD,iron_ore,34897.0
1993,QLD,iron_ore,21046.0
1994,QLD,iron_ore,37221.0
1995,QLD,iron_ore,24551.0
1996,QLD,iron_ore,28656.0
1997,QLD,iron_ore,24909.0
1998,QLD,iron_ore,23116.0
1999,QLD,iron_ore,20840.0
1850,SA,iron_ore,119.0
1860,SA,iron_ore,5.08
1862,SA,iron_ore,9.14
1865,SA,iron_ore,20.3
1874,SA,iron_ore,6.1
1879,SA,iron_ore,298.0
1880,SA,iron_ore,2.03
1889,SA,iron_ore,4467.0
1890,SA,iron_ore,4030.0
1891,SA,iron_ore,6908.0
1892,SA,iron_ore,4251.0
1893,SA,iron_ore,3099.0
1894,SA,iron_ore,1589.0
1895,SA,iron_ore,1637.0
1896,SA,iron_ore,111.0
1897,SA,iron_ore,410.0
1903,SA,iron_ore,86291.0
1904,SA,iron_ore,47434.0
1905,SA,iron_ore,85835.0
1906,SA,iron_ore,76430.0
1907,SA,iron_ore,85954.0
1908,SA,iron_ore,89408.0
1909,SA,iron_ore,16378.0
1910,SA,iron_ore,46939.0
1911,SA,iron_ore,42977.0
1912,SA,iron_ore,42875.0
1913,SA,iron_ore,61629.0
1914,SA,iron_ore,43304.0
1915,SA,iron_ore,241173.0
1916,SA,iron_ore,191342.0
1917,SA,iron_ore,333640.0
1918,SA,iron_ore,261141.0
1919,SA,iron_ore,272826.0
1920,SA,iron_ore,419647.0
1921,SA,iron_ore,515105.0
1922,SA,iron_ore,52246.0
1923,SA,iron_ore,390585.0
1924,SA,iron_ore,589593.0
1925,SA,iron_ore,596038.0
1926,SA,iron_ore,593085.0
1927,SA,iron_ore,733984.0
1928,SA,iron_ore,628209.0
1929,SA,iron_ore,861378.0
1930,SA,iron_ore,943246.0
1931,SA,iron_ore,293806.0
1932,SA,iron_ore,546535.0
1933,SA,iron_ore,732724.0
1934,SA,iron_ore,1264143.0
1935,SA,iron_ore,1898619.0
1936,SA,iron_ore,1917495.0
1937,SA,iron_ore,1896277.0
1938,SA,iron_ore,2281292.0
1939,SA,iron_ore,2795787.0
1940,SA,iron_ore,2350369.0
1941,SA,iron_ore,2276233.0
1942,SA,iron_ore,2156005.0
1943,SA,iron_ore,2217756.0
1944,SA,iron_ore,2061709.0
1945,SA,iron_ore,1543908.0
1946,SA,iron_ore,1847307.0
1947,SA,iron_ore,2179857.0
1948,SA,iron_ore,2067383.0
1949,SA,iron_ore,1470895.0
1950,SA,iron_ore,2387421.0
1951,SA,iron_ore,2438986.0
1952,SA,iron_ore,2726909.0
1953,SA,iron_ore,2632796.0
1954,SA,iron_ore,2912933.0
1955,SA,iron_ore,3092683.0
1956,SA,iron_ore,3644489.0
1957,SA,iron_ore,3443465.0
1958,SA,iron_ore,3406238.0
1959,SA,iron_ore,3477980.0
1960,SA,iron_ore,3491587.0
1961,SA,iron_ore,4055204.0
1962,SA,iron_ore,3566429.0
1963,SA,iron_ore,4310219.0
1964,SA,iron_ore,4436954.0
1965,SA,iron_ore,4462612.0
1966,SA,iron_ore,4875508.0
1967,SA,iron_ore,4645100.0
1968,SA,iron_ore,5565749.0
1969,SA,iron_ore,7041731.0
1970,SA,iron_ore,7705356.0
1971,SA,iron_ore,6866229.0
1972,SA,iron_ore,6327469.0
1973,SA,iron_ore,6579628.0
1974,SA,iron_ore,5468306.0
1975,SA,iron_ore,5301012.0
1976,SA,iron_ore,4090316.0
1977,SA,iron_ore,2692861.0
1978,SA,iron_ore,2376380.0
1979,SA,iron_ore,2627898.0
1980,SA,iron_ore,2498386.0
1981,SA,iron_ore,2455944.0
1982,SA,iron_ore,1765379.0
1983,SA,iron_ore,1505931.0
1984,SA,iron_ore,1752957.0
1985,SA,iron_ore,1726304.0
1986,SA,iron_ore,1976949.0
1987,SA,iron_ore,1995043.0
1988,SA,iron_ore,2062504.0
1989,SA,iron_ore,2520399.0
1990,SA,iron_ore,2417000.0
1991,SA,iron_ore,2141000.0
1992,SA,iron_ore,2531000.0
1993,SA,iron_ore,2828000.0
1994,SA,iron_ore,2931000.0
1995,SA,iron_ore,2558000.0
1996,SA,iron_ore,2515000.0
1997,SA,iron_ore,2579000.0
1998,SA,iron_ore,2931000.0
1999,SA,iron_ore,3005333.0
2000,SA,iron_ore,2763000.0
2001,SA,iron_ore,3009781.0
2002,SA,iron_ore,3290217.0
2003,SA,iron_ore,2689089.0
2004,SA,iron_ore,3475249.0
2005,SA,iron_ore,3490231.0
2006,SA,iron_ore,3972452.0
2007,SA,iron_ore,6538269.0
2008,SA,iron_ore,7711703.0
2009,SA,iron_ore,7322987.0
2010,SA,iron_ore,9197017.0
2011,SA,iron_ore,10192493.0
2012,SA,iron_ore,10719749.0
2013,SA,iron_ore,11317000.0
2014,SA,iron_ore,11272000.0
2015,SA,iron_ore,9122000.0
2016,SA,iron_ore,8929706.0
2017,SA,iron_ore,6000000.0
2018,SA,iron_ore,6000000.0
2019,SA,iron_ore,5750000.0
2020,SA,iron_ore,5750000.0
2021,SA,iron_ore,5750000.0
1901,TAS,iron_ore,622.0
1902,TAS,iron_ore,2424.0
1903,TAS,iron_ore,6076.0
1904,TAS,iron_ore,6949.0
1905,TAS,iron_ore,6401.0
1906,TAS,iron_ore,2642.0
1907,TAS,iron_ore,3048.0
1908,TAS,iron_ore,3658.0
1937,TAS,iron_ore,62.0
1940,TAS,iron_ore,1186.0
1941,TAS,iron_ore,2215.0
1946,TAS,iron_ore,251.0
1947,TAS,iron_ore,399.0
1948,TAS,iron_ore,323.0
1949,TAS,iron_ore,1531.0
1950,TAS,iron_ore,1545.0
1951,TAS,iron_ore,3287.0
1952,TAS,iron_ore,4750.0
1953,TAS,iron_ore,4904.0
1954,TAS,iron_ore,6482.0
1955,TAS,iron_ore,6687.0
1956,TAS,iron_ore,5776.0
1957,TAS,iron_ore,5867.0
1958,TAS,iron_ore,4334.0
1959,TAS,iron_ore,5143.0
1960,TAS,iron_ore,3553.0
1961,TAS,iron_ore,2346.0
1962,TAS,iron_ore,4147.0
1963,TAS,iron_ore,4289.0
1964,TAS,iron_ore,6917.0
1969,TAS,iron_ore,1994255.0
1970,TAS,iron_ore,1948663.0
1971,TAS,iron_ore,2193179.0
1972,TAS,iron_ore,2352000.0
1973,TAS,iron_ore,2415000.0
1974,TAS,iron_ore,2182000.0
1975,TAS,iron_ore,2060000.0
1976,TAS,iron_ore,2228000.0
1977,TAS,iron_ore,2046000.0
1978,TAS,iron_ore,2093000.0
1979,TAS,iron_ore,2212000.0
1980,TAS,iron_ore,2132000.0
1981,TAS,iron_ore,2234000.0
1982,TAS,iron_ore,2094000.0
1983,TAS,iron_ore,2229000.0
1984,TAS,iron_ore,2022000.0
1985,TAS,iron_ore,2484000.0
1986,TAS,iron_ore,2190000.0
1987,TAS,iron_ore,1861000.0
1988,TAS,iron_ore,2534625.0
1989,TAS,iron_ore,2495675.0
1990,TAS,iron_ore,2119821.0
1991,TAS,iron_ore,1363057.0
1992,TAS,iron_ore,1436718.0
1993,TAS,iron_ore,1590129.0
1994,TAS,iron_ore,1573085.0
1995,TAS,iron_ore,1703541.0
1996,TAS,iron_ore,1717134.0
1997,TAS,iron_ore,184314.0
1998,TAS,iron_ore,3878223.0
1999,TAS,iron_ore,2454163.0
2000,TAS,iron_ore,2245873.0
2001,TAS,iron_ore,2201028.0
2002,TAS,iron_ore,2325961.0
2003,TAS,iron_ore,2452906.0
2004,TAS,iron_ore,2286466.0
2005,TAS,iron_ore,2354008.0
2006,TAS,iron_ore,1823197.0
2007,TAS,iron_ore,2554362.0
2008,TAS,iron_ore,2624125.0
2009,TAS,iron_ore,2483357.0
2010,TAS,iron_ore,2397946.0
2011,TAS,iron_ore,2151032.0
2012,TAS,iron_ore,2179543.0
2013,TAS,iron_ore,2126236.0
2014,TAS,iron_ore,2723714.0
2015,TAS,iron_ore,2923208.0
2016,TAS,iron_ore,2606630.0
2017,TAS,iron_ore,2060285.0
2018,TAS,iron_ore,1396107.0
2019,TAS,iron_ore,2251172.0
2020,TAS,iron_ore,2553304.0
2021,TAS,iron_ore,2823834.0
1941,VIC,iron_ore,5.08
1942,VIC,iron_ore,22.4
1955,VIC,iron_ore,2032.0
1956,VIC,iron_ore,2337.0
1957,VIC,iron_ore,2337.0
1958,VIC,iron_ore,770.0
1959,VIC,iron_ore,2277.0
1960,VIC,iron_ore,1171.0
1961,VIC,iron_ore,701.0
1962,VIC,iron_ore,82.3
1963,VIC,iron_ore,103.0
1964,VIC,iron_ore,108.0
1965,VIC,iron_ore,203.0
1966,VIC,iron_ore,429.0
1967,VIC,iron_ore,488.0
1968,VIC,iron_ore,177.0
1969,VIC,iron_ore,151.0
1970,VIC,iron_ore,387.0
1971,VIC,iron_ore,275.0
1972,VIC,iron_ore,371.0
1973,VIC,iron_ore,433.0
1974,VIC,iron_ore,364.0
1975,VIC,iron_ore,5061.0
1976,VIC,iron_ore,3567.0
1977,VIC,iron_ore,284.0
1978,VIC,iron_ore,8572.0
1979,VIC,iron_ore,1969.0
1983,VIC,iron_ore,1102.0
1898,WA,iron_ore,102.0
1899,WA,iron_ore,13058.0
1900,WA,iron_ore,12447.0
1901,WA,iron_ore,20898.0
1902,WA,iron_ore,4876.8
1903,WA,iron_ore,223.52
1904,WA,iron_ore,1464.056
1905,WA,iron_ore,3264.408
1906,WA,iron_ore,1300.48
1907,WA,iron_ore,1111.504
1910,WA,iron_ore,10.16
1942,WA,iron_ore,152.4
1943,WA,iron_ore,85.344
1948,WA,iron_ore,7338.0
1949,WA,iron_ore,12724.0
1950,WA,iron_ore,15133.0
1951,WA,iron_ore,36222.0
1952,WA,iron_ore,227369.0
1953,WA,iron_ore,718701.0
1954,WA,iron_ore,662172.0
1955,WA,iron_ore,537088.0
1956,WA,iron_ore,342280.0
1957,WA,iron_ore,422896.0
1958,WA,iron_ore,582095.0
1959,WA,iron_ore,738717.0
1960,WA,iron_ore,943318.0
1961,WA,iron_ore,1381301.0
1962,WA,iron_ore,1453644.0
1963,WA,iron_ore,1354468.0
1964,WA,iron_ore,1379438.0
1965,WA,iron_ore,2350449.0
1966,WA,iron_ore,6203803.0
1967,WA,iron_ore,12355273.0
1968,WA,iron_ore,19128834.0
1969,WA,iron_ore,28617000.0
1970,WA,iron_ore,40326000.0
1971,WA,iron_ore,51897000.0
1972,WA,iron_ore,54782000.0
1973,WA,iron_ore,74994000.0
1974,WA,iron_ore,88589000.0
1975,WA,iron_ore,90290000.0
1976,WA,iron_ore,86937000.0
1977,WA,iron_ore,91185000.0
1978,WA,iron_ore,78665000.0
1979,WA,iron_ore,86882000.0
1980,WA,iron_ore,93212714.0
1981,WA,iron_ore,75306403.0
1982,WA,iron_ore,78182395.0
1983,WA,iron_ore,74983543.0
1984,WA,iron_ore,90631128.0
1985,WA,iron_ore,88670729.0
1986,WA,iron_ore,81290940.0
1987,WA,iron_ore,84122743.0
1988,WA,iron_ore,98319089.0
1989,WA,iron_ore,106469970.0
1990,WA,iron_ore,105970657.0
1991,WA,iron_ore,114167774.0
1992,WA,iron_ore,108147133.0
1993,WA,iron_ore,116273823.0
1994,WA,iron_ore,124262000.0
1995,WA,iron_ore,138702217.0
1996,WA,iron_ore,147905472.0
1997,WA,iron_ore,153523142.0
1998,WA,iron_ore,153921489.0
1999,WA,iron_ore,146098944.0
2000,WA,iron_ore,164803647.0
2001,WA,iron_ore,175422900.0
2002,WA,iron_ore,180972411.0
2003,WA,iron_ore,207144424.0
2004,WA,iron_ore,227439089.0
2005,WA,iron_ore,255252928.0
2006,WA,iron_ore,268372683.0
2007,WA,iron_ore,288943358.0
2008,WA,iron_ore,328920680.0
2009,WA,iron_ore,377941900.0
2010,WA,iron_ore,418921450.0
2011,WA,iron_ore,462795803.0
2012,WA,iron_ore,504507036.0
2013,WA,iron_ore,593336462.0
2014,WA,iron_ore,724186529.0
2015,WA,iron_ore,797836555.0
2016,WA,iron_ore,846489297.0
2017,WA,iron_ore,876807170.0
2018,WA,iron_ore,896454386.0
2019,WA,iron_ore,909044407.0
2020,WA,iron_ore,909759918.0
2021,WA,iron_ore,911085189.0
