year,aus_energy_imports_pct_use,aus_energy_use_per_capita_kgoe,aus_exports_goods_services_current_usd,aus_gdp_constant_2015_usd,aus_gdp_current_usd,aus_industry_value_added_current_usd,jpn_energy_imports_pct_use,jpn_energy_use_per_capita_kgoe,jpn_exports_goods_services_current_usd,jpn_gdp_constant_2015_usd,jpn_gdp_current_usd,jpn_industry_value_added_current_usd,coal_australian_usd_per_mt,iron_ore_cfr_spot_usd_per_dmtu,lng_japan_usd_per_mmbtu,jpy_per_usd,aud_per_usd,jpy_per_aud,export_all_commodities_usd_to_jpn,export_coal_usd_to_jpn,export_coke_usd_to_jpn,export_iron_ore_usd_to_jpn,export_lng_usd_to_jpn,export_lng_strict_usd_to_jpn,fdi_flow_usd_million,fdi_stock_usd_million,japan_lng_contracted_mtpa,export_energy_usd_to_jpn,export_all_commodities_usd_to_world,export_coal_usd_to_world,export_coke_usd_to_world,export_iron_ore_usd_to_world,export_lng_usd_to_world,export_lng_strict_usd_to_world,chn_gdp_current_usd,export_coal_usd_to_world_raw,export_lng_usd_to_world_raw,export_coal_usd_to_exjpn,export_lng_usd_to_exjpn,export_energy_usd_to_world,export_energy_usd_to_exjpn,export_coal_kg_to_jpn,export_lng_kg_to_jpn,export_coal_kg_to_world_comtrade,export_lng_kg_to_world_comtrade,export_lng_kg_to_world_owid,export_lng_kg_to_world,lng_world_source,export_coal_kg_to_world,coal_world_source,export_lng_kg_to_world_raw,export_coal_kg_to_world_raw,export_coal_kg_to_exjpn,export_lng_kg_to_exjpn,export_coal_mmbtu_to_jpn,export_lng_mmbtu_to_jpn,export_energy_mmbtu_to_jpn,export_coal_mmbtu_to_world,export_lng_mmbtu_to_world,export_energy_mmbtu_to_world,export_coal_mmbtu_to_exjpn,export_lng_mmbtu_to_exjpn,export_energy_mmbtu_to_exjpn
1998,-107.390214825386,5584.82787538452,78166587533.0665,801646726961.596,400361527504.578,101597368242.556,80.3220799001163,3938.28293836089,425156200703.868,3892499235707.61,4098362709531.24,1367910237400.62,29.23083333333,31.0,3.01916666667,130.905300666667,1.59182833333333,82.23581521039262,13014272663.0,3223761260.0,3413079.0,1453250061.0,1397257388.0,1273533405.0,1184.1192133669504,8459.346892469874,7.5,4621018648.0,55808521696.0,6172320768.0,15202306.0,2504636416.0,1397257388.0,974438208.0,1037134141760.35,6172320768.0,1165153664.0,2948559508.0,0.0,7569578156.0,2948559508.0,71507034112.0,8005111000.0,167042072576.0,,7323507692.307694,8005111000.0,owid_comtrade_missing,167042072576.0,comtrade,7323507692.307694,167042072576.0,95535038464.0,0.0,1762165123.8531413,394543770.18850183,2156708894.041643,4116458166.178857,394543770.18850183,4511001936.367359,2354293042.3257155,0.0,2354293042.3257155
1999,-103.454366779273,5644.57987814369,71285875422.9853,841955290889.975,390347787943.351,96043363830.0539,81.1103825264601,3994.22367709485,454583045085.983,3879501014656.82,4635982224063.88,1523954671714.07,25.89166666667,27.59,3.1375,113.906805,1.54995,73.49063195586955,12806522174.0,3113886092.0,1755571.0,1413540348.0,1347715032.0,1222709549.0,-403.6331118946166,8543.25552507837,7.5,4461601124.0,54534196028.0,5417207256.0,8830099.0,2303456466.0,1347715032.0,941030337.0,1103843203575.64,5417207256.0,1211879598.0,2303321164.0,0.0,6764922288.0,2303321164.0,79719335812.0,7798558000.0,171406552981.0,,7295815384.615383,7798558000.0,owid_comtrade_missing,171406552981.0,comtrade,7295815384.615383,171406552981.0,91687217169.0,0.0,1964542859.442532,384363499.1886686,2348906358.631201,4224013111.631989,384363499.1886686,4608376610.820658,2259470252.189457,0.0,2259470252.189457
2000,-117.602689924911,5681.22885913159,80695888525.1996,874926744105.928,416901962163.479,102276295527.795,82.8158357838335,4067.03534426909,519863963884.546,3986755544463.82,4968359075956.59,1615391753390.46,26.25,28.79,4.7125,107.765498333333,1.72482666666667,62.47903074318547,14802219263.0,3189893392.0,325603.0,1532766150.0,2007764437.0,1689942136.0,152.37861396801128,7668.40731070496,7.5,5197657829.0,63766334251.0,5397081306.0,6018394.0,2560403675.0,2007764437.0,1414776760.0,1223754919971.05,5397081306.0,1865117183.0,2207187914.0,0.0,7404845743.0,2207187914.0,87770420067.0,8262834000.0,186754572178.0,8853469075.0,7364215384.615385,8853469075.0,comtrade,186754572178.0,comtrade,8853469075.0,186754572178.0,98984152111.0,590635075.0,2162947674.5708284,407246030.5424546,2570193705.113283,4602238058.101181,436356356.345066,5038594414.446247,2439290383.5303526,29110325.80261142,2468400709.332964
2001,-126.513619589279,5486.39455905443,84096722017.0419,892700520464.398,380360222861.197,89714404084.5722,81.201679168534,3990.10602386433,440830946383.947,4002148544212.9,4374711694090.87,1355339347266.37,32.3125,30.03,4.63416666667,121.5289475,1.9334425,62.85625122029748,14459593823.0,3646874312.0,555614.0,1519307958.0,2068211900.0,1785545879.0,554.0435339473017,6881.088183812512,7.5,5715086212.0,63288188610.0,6454899087.0,10591167.0,2703482564.0,2068211900.0,1504705440.0,1355036590251.52,6454899087.0,1912888813.0,2808024775.0,0.0,8523110987.0,2808024775.0,92332022121.0,8446695000.0,194159476491.0,8871172393.0,7249846153.846153,8871172393.0,comtrade,194159476491.0,comtrade,8871172393.0,194159476491.0,101827454370.0,424477393.0,2275360336.4617615,416307892.66162175,2691668229.123383,4784718904.746288,437228890.63329333,5221947795.379581,2509358568.284527,20920997.971671645,2530279566.2561984
2002,-130.62417241528,5480.23464289818,82033782309.5723,927960453450.18,396436967262.563,93381406910.8122,82.9888784175082,3992.91998129661,454066577343.924,4003827945767.2,4182846045873.61,1264164832360.35,25.309375,29.31,4.28166666667,125.388019166667,1.8405625,68.12483638380495,14018216836.0,3660593648.0,1001218.0,1576827521.0,1814084728.0,1582154680.0,1151.2894345873888,9961.776819971516,7.5,5474678376.0,64984167265.0,6994805027.0,12434567.0,2828234657.0,1814084728.0,1321570635.0,1489821682050.54,6994805027.0,1741451253.0,3334211379.0,0.0,8808889755.0,3334211379.0,91844219000.0,8077379000.0,204659311917.0,8536832105.0,7052123076.923077,8536832105.0,comtrade,204659311917.0,comtrade,8536832105.0,204659311917.0,112815092917.0,459453105.0,2263339286.255895,398105605.7687933,2661444892.0246882,5043468886.809799,420750433.5883593,5464219320.398158,2780129600.553904,22644827.819565974,2802774428.37347
2003,-125.288697474724,5615.57675632995,89138031450.2038,956646310281.468,468517181129.878,112405358182.877,85.4788968124398,3956.90048891144,518203970379.571,4065291729517.45,4519561645253.53,1359435365964.11,26.090625,31.95,4.73083333333,115.933464166667,1.54191416666667,75.18801414043264,15079352612.0,3697291222.0,1505889.0,1810752623.0,2200928131.0,1856853011.0,963.6224090699396,11518.205225764232,7.5,5898219353.0,70288235404.0,7067919036.0,32615565.0,3320370204.0,2200928131.0,1572875101.0,1683903309843.85,7067919036.0,2085544977.0,3370627814.0,0.0,9268847167.0,3370627814.0,95681270430.0,8646350000.0,216270030811.0,9368596716.0,7442930769.230768,9368596716.0,comtrade,216270030811.0,comtrade,9368596716.0,216270030811.0,120588760381.0,722246716.0,2357896672.006036,426148185.4991583,2784044857.505194,5329594638.659938,461745186.2574119,5791339824.91735,2971697966.6539025,35597000.75825359,3007294967.412156
2004,-125.872031210017,5652.13037917952,105490823730.26,997006658239.536,615643050220.515,147027315407.597,83.7746111126745,4085.4919552124,625646760881.018,4154163710039.3,4893116005656.56,1466316674831.09,52.94791666667,37.9,5.1275,108.192569166667,1.3597525,79.56783985811168,19454411134.0,5436362233.0,20520681.0,2240029969.0,2468975359.0,2060791118.0,1650.713744021774,12844.0,8.6,7905337592.0,86484037752.0,9833919622.0,68621884.0,4534494266.0,2468975359.0,1897664191.0,1984196551300.44,9833919622.0,2405730207.0,4397557389.0,0.0,12302894981.0,4397557389.0,102217622259.0,9248386000.0,225315431150.0,8896003177.0,8637715384.615385,9248386000.0,comtrade,225315431150.0,comtrade,8896003177.0,225315431150.0,123097808891.0,0.0,2518973569.8711724,455820422.8022019,2974793992.673374,5552502625.358274,455820422.8022019,6008323048.160477,3033529055.487102,0.0,3033529055.487102
2005,-131.07466643319,5624.49561264785,126785667301.888,1028467016034.95,696811489612.816,170881303819.973,83.4649315674778,4066.44200433533,667510447457.861,4229100705435.58,4831467035389.8,1443241678779.0,47.62090277778,65.0,5.99,110.218211666667,1.30947333333333,84.16987872987151,24513204866.0,7966117775.0,19806691.0,3069978259.0,3414875088.0,2917024806.0,639.8881025073815,10618.259396158324,8.6,11380992863.0,106011050685.0,16649556642.0,51122087.0,8445766327.0,3524485254.0,2817821605.0,2317551298052.05,16649556642.0,3524485254.0,8683438867.0,109610166.0,20174041896.0,8793049033.0,105160016599.0,11221701864.0,234319559157.0,12675086784.0,10368207692.307692,12675086784.0,comtrade,234319559157.0,comtrade,12675086784.0,234319559157.0,129159542558.0,1453384920.0,2591483704.726574,553078222.3199526,3144561927.0465264,5774393528.004201,624710454.0119197,6399103982.016121,3182909823.2776265,71632231.69196706,3254542054.9695935
2006,-123.806910241922,5775.11675226564,148587374344.676,1056965077770.63,749708370332.989,191079950703.73,82.3651990491479,4064.36044717698,720499607478.291,4287138774362.24,4601663122649.92,1365109678218.18,49.08958333333,69.33333333333,7.075,116.299311666667,1.3279734405,87.57653437924084,27927415055.0,8485789309.0,8834221.0,3806670699.0,4607519064.0,4058010993.0,465.65238461975696,12181.17129197898,11.6,13093308373.0,123324472734.0,17545294612.0,59828362.0,10828903183.0,4647461058.0,3851163495.0,2791498472804.33,17545294612.0,4647461058.0,9059505303.0,39941994.0,22192755670.0,9099447297.0,103588297000.0,13124244824.0,237600877937.0,16573991588.0,10203992307.692308,16573991588.0,comtrade,237600877937.0,comtrade,16573991588.0,237600877937.0,134012580937.0,3449746764.0,2552751438.7861876,646847874.2815547,3199599313.0677423,5855255859.747729,816873760.8013223,6672129620.549051,3302504420.961541,170025886.51976767,3472530307.481309
2007,-127.764290888944,5853.76413229662,172570464002.512,1097018464974.4,856603595823.192,219047656434.011,84.3107714036557,4020.80546615948,791798969881.999,4350758602405.54,4579750920354.81,1355482427273.92,65.733125,122.9875,7.68333333333,117.753529166667,1.1950725,98.53254021548231,31252148401.0,9249240723.0,10266694.0,4625137599.0,4887838164.0,4317857500.0,4139.820629754716,17940.099999524486,11.6,14137078887.0,141181512401.0,17427904563.0,95694964.0,13648180700.0,5187159445.0,4263741851.0,3604055822571.63,17427904563.0,5187159445.0,8178663840.0,299321281.0,22615064008.0,8477985121.0,114994728650.0,12988622640.0,251437926400.0,13825504374.0,9506353846.153849,13825504374.0,comtrade,251437926400.0,comtrade,13825504374.0,251437926400.0,136443197750.0,836881734.0,2833842890.709119,640163533.7650324,3474006424.474151,6196245589.238865,681410491.4317343,6877656080.670599,3362402698.529746,41246957.666702054,3403649656.1964483
2008,-123.534610231999,5951.19291532561,212794797279.029,1136774249983.46,1058448244063.77,270000376022.647,84.2147770328816,3867.13557310575,880163893981.685,4297492743392.88,5106679115127.3,1469854246585.95,127.10416666667,155.99333333333,12.52666666667,103.359493968254,1.19217833333333,86.69801411275519,47531823339.0,18644605266.0,39531910.0,6990843506.0,8101295460.0,7102162009.0,5232.195316469931,19106.598108519163,12.9,26745900726.0,186853013588.0,39252883864.0,207276351.0,25379001342.0,8783284481.0,7782492425.0,4667346414521.95,39252883864.0,8783284481.0,20608278598.0,681989021.0,48036168345.0,21290267619.0,118155001360.0,13162786416.0,261909166150.0,18950657230.0,9102392307.692307,18950657230.0,comtrade,261909166150.0,comtrade,18950657230.0,261909166150.0,143754164790.0,5787870814.0,2911722254.894527,648747453.8147738,3560469708.709301,6454290881.147541,934011252.4453678,7388302133.592909,3542568626.2530136,285263798.630594,3827832424.883608
2009,-128.476617177707,5843.93312947132,213717313259.647,1158996461663.32,931761689770.843,251366518528.99,80.6163392901148,3709.02326188514,656932075524.126,4052826324003.77,5289493117993.89,1434045704771.08,71.84416666667,79.97916666667,8.93583333333,93.5700890870456,1.28218881008452,72.97684112597862,34751479227.0,14719517977.0,30892698.0,4764068919.0,6144193805.0,5482205930.0,7136.41091229557,32557.208434768698,7.9,20863711782.0,153899575950.0,30968398113.0,126432845.0,23593714203.0,6776973528.0,5988785099.0,5189577094997.58,30968398113.0,6776973528.0,16248880136.0,632779723.0,37745371641.0,16881659859.0,101532580855.0,13214111200.0,275088188259.0,12676401375.0,12157753846.153847,13214111200.0,comtrade,275088188259.0,comtrade,12676401375.0,275088188259.0,173555607404.0,0.0,2502091928.9876556,651277071.9279355,3153369000.9155912,6779064708.161462,651277071.9279355,7430341780.089397,4276972779.173807,0.0,4276972779.173807
2010,-146.708346775748,5762.9435664152,227427026265.26,1184610839239.74,1152566632022.13,289389081684.782,81.7425349206212,3900.21212768124,859167320527.627,4218907820178.57,5759071769013.11,1631888858351.64,98.96604166667,145.86318542569,10.84833333333,87.779875,1.09015948638677,80.5202138734196,45096684248.0,15669497395.0,58451416.0,8547319703.0,8902941066.0,8047712550.0,6370.941902875049,39856.027484159975,7.9,24572438461.0,212108726296.0,39527282439.0,142799780.0,45425717647.0,9666659807.0,8670404317.0,6192564874453.29,39527282439.0,9666659807.0,23857785044.0,763718741.0,49193942246.0,24621503785.0,118104621640.0,14440736496.0,301911013929.0,24463586142.0,14482453846.153843,24463586142.0,comtrade,301911013929.0,comtrade,24463586142.0,301911013929.0,183806392289.0,10022849646.0,2910480735.2785063,711733119.1822993,3622213854.4608054,7440066083.841995,1205724131.5949106,8645790215.436905,4529585348.563488,493991012.41261125,5023576360.976099
2011,-141.942926034157,5698.65597309349,299823615768.297,1212979128949.21,1402939868653.4,371238031950.293,90.8195974217069,3620.18019068219,920913976671.968,4219912322040.1,6233147172341.35,1664339807191.07,121.44833333333,167.75416666667,14.65583333333,79.8070198321892,0.969463201496735,82.32083457007623,56688392609.0,18944331383.0,58288812.0,12572329788.0,11875696939.0,10744375034.0,8148.808199600808,49417.00458604525,7.9,30820028322.0,269423385464.0,48235174208.0,263879685.0,66216909106.0,12445266304.0,11449999699.0,7671757207851.29,48235174208.0,12445266304.0,29290842825.0,569569365.0,60680440512.0,29860412190.0,106383608372.0,15218820128.0,281474394427.0,29829300281.0,14794269230.76923,29829300281.0,comtrade,281474394427.0,comtrade,29829300281.0,281474394427.0,175090786055.0,14610480153.0,2621636972.513307,750082125.1725026,3371719097.6858096,6936441530.214509,1470181312.2829497,8406622842.497458,4314804557.701202,720099187.1104472,5034903744.811649
2012,-149.195380388504,5533.72233837943,332613569102.522,1260921781880.75,1552728401401.58,408884860409.049,96.1222197111632,3536.70253450885,904146988796.653,4277925608846.49,6272362996105.03,1666105291732.24,96.36416666667,128.49592592593,16.55333333333,79.7904554170065,0.965801030658708,82.61583171285993,56449991809.0,18247334870.0,153204374.0,10823523816.0,14484074568.0,13093875086.0,10890.081528515444,61343.93269181569,9.15,32731409438.0,256242912988.0,42699283609.0,302010718.0,56726866426.0,15165754370.0,14050368950.0,8673664713189.24,42699283609.0,15165754370.0,24451948739.0,681679802.0,57865037979.0,25133628541.0,113949321000.0,17380129552.0,316447451815.0,,17308315384.61538,17380129552.0,owid_comtrade_missing,316447451815.0,comtrade,17308315384.61538,316447451815.0,202498130815.0,0.0,2808080657.330037,856605466.1591423,3664686123.4891796,7798291035.916576,856605466.1591423,8654896502.075718,4990210378.586539,0.0,4990210378.586539
2013,-164.691774053304,5533.38146350965,315055128030.195,1294392358274.42,1583737461925.39,398842347273.248,95.6729767272549,3567.33780517627,822722049495.078,4363702302793.37,5212328181166.18,1389124295000.15,84.5621691909,135.36118854173,15.95583333333,97.5956582776385,1.03584309652054,94.21857287601593,51026036092.0,15155970893.0,126126071.0,10150271777.0,14977295767.0,13858109320.0,5834.879970515765,54112.47630632685,9.15,30133266660.0,252155105281.0,38423486105.0,194487176.0,67208985892.0,15254978978.0,14187676317.0,9743124247267.24,38423486105.0,15254978978.0,23267515212.0,277683211.0,53678465083.0,23545198423.0,124566843900.0,19163373384.0,359284448882.0,24436020150.0,17706530769.230766,24436020150.0,comtrade,359284448882.0,comtrade,24436020150.0,359284448882.0,234717604982.0,5272646766.0,3069730840.258716,944495283.6323379,4014226123.891054,8853933507.730396,1204365500.7885835,10058299008.51898,5784202667.471679,259870217.1562457,6044072884.627924
2014,-185.555789490717,5407.4382264583,309621975144.753,1328061960035.21,1474677007565.64,377072838890.74,95.5684274026895,3445.81632921551,852990577902.813,4376627829634.98,4896994405353.29,1337546773110.89,70.13,96.95246212121,16.03573555249,105.944781034025,1.10936329281692,95.500528744743,48117721953.0,12690323902.0,154480780.0,8993473131.0,15776503298.0,15016432216.0,4603.557569532266,62594.75506599332,10.35,28466827200.0,240444683866.0,34430767847.0,178477232.0,60174381205.0,17154023370.0,16095569272.0,10674533168257.4,34430767847.0,17154023370.0,21740443945.0,1377520072.0,51584791217.0,23117964017.0,119749649335.0,19270011992.0,387466505453.0,26206578602.0,19181561538.461536,26206578602.0,comtrade,387466505453.0,comtrade,26206578602.0,387466505453.0,267716856118.0,6936566610.0,2951019550.3461423,949751125.6122897,3900770675.958432,9548430739.01101,1291630100.4913483,10840060839.502357,6597411188.664866,341878974.87905854,6939290163.543925
2015,-197.386842232292,5318.66679266228,271152836560.501,1356805839935.9,1356805839935.9,321374521499.154,94.8396264266997,3400.59271053608,775051882733.212,4444930651964.18,4444930651964.18,1270526150555.11,58.93916666667,55.85416666667,10.93468742351,121.044025684011,1.33109026245502,90.93600118504456,34791622271.0,10697462611.0,72606694.0,5148838765.0,10110473393.0,9748484129.0,5675.713422584584,67459.61504774954,10.35,20807936004.0,187792151470.0,28418514200.0,57178184.0,36735457673.0,12884767326.0,12428599293.0,11280814787468.9,28418514200.0,12884767326.0,17721051589.0,2774293933.0,41303281526.0,20495345522.0,125676181907.0,19368900572.0,387849252912.0,33486168719.0,24440330769.23077,33486168719.0,comtrade,387849252912.0,comtrade,33486168719.0,387849252912.0,262173071005.0,14117268147.0,3097068524.876405,954624995.9660909,4051693520.842496,9557862877.147753,1650415497.7441955,11208278374.891949,6460794352.271348,695790501.7781047,7156584854.049453
2016,-206.230251314561,5216.98867184459,232663011512.861,1394194533274.64,1211588128417.61,270341862672.591,93.813281550921,3370.8877963853,803489014102.661,4478437728050.46,5003677627544.24,1432550285293.51,66.12333333333,58.42416666667,7.37244395799,108.792900046834,1.34521397601947,80.87404828245658,30432596105.0,9854479128.0,14258858.0,4000851958.0,8715519233.0,8451091541.0,5574.695586007192,65978.939198796,15.85,18569998361.0,189629974559.0,29579757173.0,,39691522829.0,13792632310.0,13368660709.0,11456024084962.0,29579757173.0,13792632310.0,19725278045.0,5077113077.0,43372389483.0,24802391122.0,121869810600.0,23115237303.0,390898505683.0,46188860891.0,38857153846.15384,46188860891.0,comtrade,390898505683.0,comtrade,46188860891.0,390898505683.0,269028695083.0,23073623588.0,3003267196.8123016,1139268758.9625573,4142535955.774859,9633006350.144447,2276486524.252741,11909492874.397188,6629739153.332145,1137217765.2901835,7766956918.622328
2017,-213.039219172204,5162.45894302308,281774035049.614,1426167740135.16,1330890554614.09,312066301192.58,93.0886712405363,3391.05041453219,867405253150.188,4553466417290.11,4930837369151.42,1424145454762.54,88.51833333333,71.76,8.60612419447,112.166141081871,1.30475807671592,85.96700268312846,38908730109.943,14284594730.294,,4983336479.582,11069722422.991,10864454760.588,4471.486392180463,69105.38448366622,21.950000000000003,25354317153.285,230536736593.854,43807013886.029,,48386546386.99,20207176377.319,19643398591.603,12537559062282.9,43807013886.029,20207176377.319,29522419155.735,9137453954.328,64014190263.348,38659873110.063,117443310000.0,26091321000.0,373016588950.0,58117562429.007,50545523076.923065,58117562429.007,comtrade,373016588950.0,comtrade,58117562429.007,373016588950.0,255573278950.0,32026241429.007004,2894183872.704387,1285949458.6069365,4180133331.3113236,9192337954.288681,2864410274.2492948,12056748228.537975,6298154081.584294,1578460815.6423585,7876614897.226653
2018,-221.13514781466,5086.37378454852,312605804111.245,1467158231105.1,1433144978761.67,345507394660.962,91.4437393045403,3343.05412833973,923234601723.625,4582763011478.55,5040880939324.86,1462561583208.71,107.0225,69.75166666667,10.66987582278,110.42317934106,1.33841214646451,82.50312105486263,45731434968.503,15677625351.485,,4625063135.3,15474484703.376,15185280292.617,3227.0263095884866,67301.13143655796,28.15,31152110054.861,256565262375.592,49730886253.267,,47196203106.349,33076097962.533,32376707825.449,14147765772963.8,49730886253.267,33076097962.533,34053260901.782,17601613259.157,82806984215.8,51654874160.939,116733700000.0,29192986000.0,386146113431.744,,62453838461.53846,62453838461.53846,owid_comtrade_missing,386146113431.744,comtrade,62453838461.53846,386146113431.744,269412413431.74402,33260852461.53846,2876696781.9717627,1438819619.0533962,4315516401.025159,9515891999.311264,3078130070.8208847,12594022070.132149,6639195217.339501,1639310451.767489,8278505669.106991
2019,-230.540248121,5231.57466031316,336477593836.115,1499347932643.95,1398349602956.35,353160364437.648,90.5590328120186,3261.62024942915,893782209080.495,4564332550096.38,5117993853016.51,1474191290028.78,77.88583333333,93.84916666667,10.56430189901,109.009665900863,1.43850654421382,75.77974972678315,45481319121.4,13635114129.806,,5621725439.264,16497143362.527,16111291014.786,10525.352921977244,72977.46479946862,28.750000000000004,30132257492.333,270260835869.77,44371660291.117,792.489,66787092351.454,34914622460.668,33892669170.006,14560167101283.4,44371660291.117,34914622460.668,30736546161.311,18417479098.141,79286282751.785,49154025259.452,110153052500.0,30949203000.0,,79468571654.684,70646815384.61539,79468571654.684,comtrade,378462854690.424,interpolated_neighbor,79468571654.684,378462854690.424,268309802190.424,48519368654.684006,2714528295.18054,1525377379.0206397,4239905674.2011795,9326551597.214767,3916726435.415341,13243278032.630108,6612023302.034227,2391349056.3947015,9003372358.428928
2020,-237.32858019566,5159.03638381788,319174580744.374,1497345824797.34,1333336461648.09,338705320123.801,89.5796033607393,3046.85480668859,785057625362.297,4374056271824.01,5054068005376.28,1468550816847.01,60.785,108.91833333333,8.31334757085,106.774582262437,1.45308511847016,73.48129913741847,35790723788.284,9604885060.26,,5041673200.331,12494706872.954,12085270950.302,13725.947533314613,89360.26280272912,28.750000000000004,22099591933.214,247159345941.573,30162925249.581,801.742,79880253860.094,17983115892.445,17384240405.265,14996414166715.1,30162925249.581,17983115892.445,20558040189.321,5488409019.490999,48146041142.026,26046449208.812,104231000000.0,30125481000.0,370779595949.104,,71583992307.6923,71583992307.6923,owid_2020_anomaly,370779595949.104,comtrade,71583992307.6923,370779595949.104,266548595949.104,41458511307.69231,2568589724.1473436,1484779018.3649018,4053368742.512245,9137211195.118273,3528123246.538572,12665334441.656845,6568621470.970928,2043344228.17367,8611965699.144598
2021,-232.104772123918,5006.44306522882,343364164705.654,1527396783519.68,1560617493202.69,396955224727.193,88.6817259385197,3196.03970960845,912549013982.719,4492005937826.88,5039148168861.22,1472398483693.84,138.05,161.71,10.76164902384,109.754323839417,1.33122425957081,82.4461566489196,52241209731.765,16885975694.02,,9964780365.157,14640798179.052,14040722534.586,7418.009498068911,83253.92032185545,27.65,31526773873.072,342036103269.844,46598545039.441,,115827453821.292,38226093603.658,37195047748.195,18201698719564.0,46598545039.441,38226093603.658,29712569345.421,23585295424.605995,84824638643.099,53297864770.02699,120146062500.0,27496803000.0,366512020740.0,83100569432.8,75011746153.84615,83100569432.8,comtrade,366512020740.0,comtrade,83100569432.8,366512020740.0,246365958240.0,55603766432.8,2960788455.7786503,1355220723.8288772,4316009179.607528,9032044307.828209,4095734833.511776,13127779141.339985,6071255852.04956,2740514109.6828985,8811769961.732458
2022,-234.279345921201,4942.16372202842,431732710875.763,1592357665099.43,1695627535475.8,464635214371.282,89.9707516343257,3129.65861717499,918408424578.807,4534320578755.85,4262463317796.53,1181445604293.09,344.89333333333,121.30083333333,18.42692483862,131.498140443764,1.44166445896522,91.21272264570432,88400517153.076,39939186406.522,16869872.927,7285127051.846,28573848351.64,27660163312.203,11839.29117413292,89041.5505542228,27.65,68513034758.162,410252834479.043,98238239264.652,,85978839232.961,63897063758.455,62985760393.454,18316765021690.2,98238239264.652,63897063758.455,58299052858.12999,35323215406.815,162135303023.107,93622268264.945,126197702000.0,31943930000.0,338831958760.0,82848719815.48,76854600000.0,82848719815.48,comtrade,338831958760.0,comtrade,82848719815.48,338831958760.0,212634256760.0,50904789815.479996,3109920470.572178,1574403974.7653205,4684324445.337499,8349917850.578547,4083322051.5356145,12433239902.11416,5239997380.006369,2508918076.770294,7748915456.776663
2023,-214.471540281044,4927.64894813822,463117015978.139,1649424913623.6,1734451264655.6,477265140195.722,87.2798853157027,3039.14126131753,920644083095.705,4601203385713.7,4213167237905.83,1205057828751.26,172.77916666667,120.57416666667,14.38710799668,140.49110006234,1.50519106560509,93.33771856123946,64535237942.036,27096281451.901,32448258.202,5754236620.779,20626085418.902,19808733720.791,15191.10102414648,100048.73710642855,24.65,47722366870.803,369235124159.052,67642290602.836,95198354.701,90296062549.54,50935619705.146,49515175704.916,18270356654533.2,67642290602.836,50935619705.146,40546009150.935,30309534286.244003,118577910307.982,70855543437.179,106905300000.0,28832307654.478,353029781910.0,83485538626.744,77596753846.15384,83485538626.744,comtrade,353029781910.0,comtrade,83485538626.744,353029781910.0,246124481910.0,54653230972.26601,2634493145.387543,1421043051.7743666,4055536197.16191,8699798237.875525,4114708611.287636,12814506849.16316,6065305092.487981,2693665559.5132694,8758970652.001251
2024,,4750.15843585384,432605705549.386,1672078242948.22,1757022451652.83,448580693125.779,,3005.89902824379,917043674686.877,4606002855955.13,4027597523550.58,,136.14666666667,109.3975,12.85416259236,151.366291302752,1.51535803855596,99.88813696266423,52854044085.632,19677276091.148,32202892.458,5583243571.729,16656641234.523,15965166054.891,15064.6041725532,104193.246587827,24.65,36333917325.671,340854851740.669,56507578209.854,232179795.595,82217105525.807,46006840209.933,44521041774.551,18743803170827.2,56507578209.854,46006840209.933,36830302118.70599,29350198975.41,102514418419.787,66180501094.11599,110373500000.0,26207574000.0,361958367290.0,,78333230769.23077,78333230769.23077,owid_comtrade_missing,361958367290.0,comtrade,78333230769.23077,361958367290.0,251584867290.0,52125656769.230774,2719960836.2020593,1291679160.1583233,4011639996.3603826,8919827525.306713,3860769475.7434673,12780597001.05018,6199866689.104653,2569090315.5851445,8768957004.689798
