year,coal_mining_ebitda,coal_mining_iva,coal_mining_opbt,coal_mining_purchases,coal_mining_sales_income,coal_mining_total_expenses,exploration_support_ebitda,exploration_support_iva,exploration_support_opbt,exploration_support_purchases,exploration_support_sales_income,exploration_support_total_expenses,metal_ore_mining_ebitda,metal_ore_mining_iva,metal_ore_mining_opbt,metal_ore_mining_purchases,metal_ore_mining_sales_income,metal_ore_mining_total_expenses,mining_division_total_ebitda,mining_division_total_iva,mining_division_total_opbt,mining_division_total_purchases,mining_division_total_sales_income,mining_division_total_total_expenses,non_metallic_mineral_ebitda,non_metallic_mineral_iva,non_metallic_mineral_opbt,non_metallic_mineral_purchases,non_metallic_mineral_sales_income,non_metallic_mineral_total_expenses,oil_gas_extraction_ebitda,oil_gas_extraction_iva,oil_gas_extraction_opbt,oil_gas_extraction_purchases,oil_gas_extraction_sales_income,oil_gas_extraction_total_expenses
2007,9819.0,15306.0,7939.0,3816.0,29242.0,23171.0,-57.0,3574.0,212.0,2074.0,10214.0,11208.0,21011.0,27629.0,19077.0,5521.0,43279.0,27745.0,48741.0,71005.0,40984.0,13030.0,113624.0,81074.0,854.0,2117.0,146.0,887.0,4711.0,4741.0,17114.0,22378.0,13609.0,732.0,26178.0,14209.0
2008,8949.0,14332.0,7653.0,4740.0,28737.0,24482.0,488.0,4616.0,401.0,2660.0,10991.0,12214.0,19936.0,27301.0,19391.0,7266.0,47316.0,34212.0,48544.0,72133.0,45555.0,17689.0,121301.0,92813.0,1072.0,2175.0,794.0,1269.0,5447.0,4795.0,18099.0,23708.0,17316.0,1753.0,28809.0,17111.0
2009,29188.0,38190.0,28636.0,6570.0,59399.0,36389.0,-1060.0,4574.0,-2677.0,4059.0,14088.0,17272.0,23738.0,33321.0,10586.0,9125.0,58335.0,42985.0,73616.0,106911.0,63155.0,22740.0,172287.0,123175.0,89.0,2020.0,-395.0,1569.0,6223.0,6869.0,21662.0,28807.0,27006.0,1417.0,34241.0,19659.0
2010,14883.0,22785.0,12674.0,6502.0,45045.0,35331.0,876.0,5420.0,445.0,2651.0,13742.0,14438.0,26360.0,36356.0,26039.0,7960.0,59586.0,41047.0,58677.0,88461.0,50343.0,19471.0,151305.0,115595.0,193.0,2006.0,-445.0,1083.0,5296.0,5791.0,16363.0,21893.0,11631.0,1275.0,27637.0,18989.0
2011,17554.0,27111.0,16243.0,,54715.0,42880.0,538.0,5482.0,-63.0,,13778.0,15422.0,50965.0,63922.0,47942.0,9488.0,89100.0,48078.0,90738.0,126276.0,85156.0,24686.0,197673.0,133966.0,1377.0,2682.0,835.0,1328.0,6134.0,5354.0,20305.0,27080.0,20199.0,,33947.0,22232.0
2012,14481.0,25952.0,14430.0,10819.0,58816.0,50975.0,196.0,7176.0,-724.0,3685.0,16499.0,18445.0,53995.0,69730.0,49895.0,12207.0,101149.0,58265.0,89949.0,132692.0,82135.0,30905.0,217377.0,157299.0,652.0,2050.0,-395.0,1251.0,6044.0,6033.0,20625.0,27783.0,18929.0,2943.0,34870.0,23580.0
2013,6376.0,17426.0,2014.0,10938.0,49333.0,49305.0,298.0,7470.0,-1136.0,3230.0,15897.0,17721.0,39386.0,57700.0,27297.0,17955.0,94490.0,67313.0,67964.0,113665.0,54374.0,38711.0,205203.0,168949.0,530.0,1978.0,-292.0,1138.0,5799.0,5784.0,21374.0,29091.0,26491.0,5450.0,39684.0,28826.0
2014,8022.0,18840.0,989.0,10057.0,49012.0,49258.0,908.0,7534.0,-411.0,3213.0,17071.0,18947.0,47845.0,69962.0,34190.0,16245.0,110326.0,75927.0,77779.0,127692.0,52208.0,36578.0,221578.0,178831.0,935.0,2403.0,625.0,1304.0,6241.0,5862.0,20069.0,28954.0,16816.0,5759.0,38928.0,28837.0
2015,5668.0,15597.0,-4088.0,10229.0,45930.0,47898.0,664.0,6894.0,-2927.0,2915.0,15865.0,17250.0,42194.0,60748.0,20077.0,16449.0,104098.0,77489.0,73112.0,117829.0,16295.0,37041.0,213356.0,179590.0,992.0,2386.0,524.0,1427.0,6094.0,5634.0,23594.0,32204.0,2708.0,6022.0,41369.0,31319.0
2016,5815.0,15606.0,-8354.0,10812.0,43988.0,46401.0,1038.0,5956.0,-1060.0,2788.0,13663.0,14330.0,35176.0,53068.0,17652.0,15724.0,91722.0,74166.0,60167.0,102103.0,6898.0,37122.0,190300.0,173047.0,1192.0,2605.0,758.0,1395.0,6291.0,5686.0,16946.0,24868.0,-2097.0,6403.0,34636.0,32464.0
2017,18580.0,29739.0,12742.0,11609.0,57636.0,48384.0,459.0,4909.0,-1263.0,3046.0,11916.0,13051.0,45600.0,63480.0,30779.0,16875.0,103155.0,75135.0,83480.0,124725.0,33258.0,38886.0,215439.0,179468.0,1381.0,2725.0,625.0,1597.0,6541.0,5902.0,17460.0,23871.0,-9625.0,5759.0,36191.0,36996.0
2018,26358.0,38341.0,24234.0,13076.0,69759.0,51371.0,160.0,5098.0,-2701.0,4381.0,13271.0,14570.0,50567.0,69319.0,34668.0,18818.0,114034.0,81689.0,104797.0,148373.0,58482.0,44625.0,251080.0,196645.0,1454.0,2851.0,788.0,1464.0,6655.0,5871.0,26258.0,32764.0,1492.0,6887.0,47361.0,43144.0
2019,30092.0,43124.0,30995.0,14874.0,78373.0,56106.0,142.0,5533.0,-205.0,4768.0,13814.0,15672.0,60949.0,82011.0,46607.0,20352.0,131741.0,89783.0,137271.0,185774.0,98551.0,53253.0,302746.0,221684.0,1755.0,3333.0,1343.0,1649.0,7763.0,6754.0,44333.0,51773.0,19811.0,11610.0,71055.0,53368.0
2020,22036.0,34319.0,16409.0,16194.0,71540.0,59453.0,1103.0,6608.0,295.0,4464.0,16008.0,17369.0,86549.0,111366.0,71376.0,20607.0,163152.0,98777.0,158348.0,209442.0,106426.0,56957.0,335939.0,244682.0,1615.0,3058.0,1558.0,1645.0,7755.0,6930.0,47045.0,54090.0,16788.0,14047.0,77484.0,62153.0
2021,6359.0,16922.0,-3741.0,14972.0,53906.0,57034.0,978.0,6760.0,1319.0,4273.0,15849.0,16951.0,125675.0,154261.0,111796.0,20080.0,208075.0,103555.0,165253.0,217890.0,97184.0,52690.0,343224.0,239947.0,1765.0,3247.0,874.0,1371.0,8076.0,7248.0,30477.0,36700.0,-13063.0,11993.0,57318.0,55158.0
2022,47552.0,63579.0,41519.0,17890.0,105696.0,67354.0,1063.0,8364.0,583.0,4772.0,18299.0,19437.0,120605.0,151352.0,107383.0,22183.0,212838.0,115998.0,222748.0,285962.0,184726.0,62290.0,431452.0,270439.0,2643.0,4770.0,2073.0,1852.0,10431.0,8718.0,50886.0,57897.0,33169.0,15593.0,84188.0,58933.0
2023,73672.0,99336.0,73315.0,27086.0,152698.0,90574.0,376.0,8374.0,-1529.0,5495.0,20720.0,22798.0,100784.0,132559.0,82948.0,26670.0,198890.0,125664.0,275383.0,353098.0,243501.0,82445.0,525002.0,322643.0,11298.0,14202.0,10632.0,2137.0,21232.0,11715.0,89253.0,98627.0,78135.0,21057.0,131462.0,71892.0
2024,35803.0,59446.0,29151.0,27692.0,115667.0,91902.0,651.0,10267.0,618.0,5928.0,24688.0,26853.0,109363.0,144002.0,88982.0,28249.0,213916.0,134578.0,232943.0,312246.0,176772.0,84539.0,492161.0,339919.0,12380.0,15186.0,11264.0,2745.0,22822.0,12385.0,74745.0,83344.0,46756.0,19924.0,115068.0,74201.0
