"International Investment Position, by year (2005 - 2025)"
,"International Investment Position ($b)","Foreign Investment in Australia ($b)","Australian Investment Abroad ($b)"
"2005","529.0","1,305.4","776.4"
"2006","589.8","1,555.8","966.0"
"2007","642.4","1,758.4","1,116.0"
"2008","705.4","1,832.1","1,126.7"
"2009","760.8","1,962.5","1,201.7"
"2010","754.8","2,036.1","1,281.3"
"2011","804.7","2,114.6","1,310.0"
"2012","829.7","2,281.7","1,452.0"
"2013","839.3","2,560.5","1,721.2"
"2014","870.0","2,853.5","1,983.5"
"2015","977.0","3,109.8","2,132.8"
"2016","1,026.6","3,289.1","2,262.5"
"2017","1,051.5","3,410.2","2,358.7"
"2018","1,079.9","3,630.2","2,550.3"
"2019","999.0","3,943.5","2,944.5"
"2020","1,044.6","4,056.4","3,011.9"
"2021","831.4","4,171.5","3,340.1"
"2022","927.7","4,598.8","3,671.1"
"2023","788.6","4,634.0","3,845.5"
"2024","629.6","4,964.7","4,335.1"
"2025","638.5","5,116.3","4,477.8"

" Source: Australian Bureau of Statistics, International Investment Position, Australia: Supplementary Statistics 2025"